driver_age,records,policies,exposure,claims,total_claim_amount,earned_premium,observed_frequency,average_claim_size,pure_premium,premium_per_exposure,loss_ratio,frequency_index,loss_ratio_index,credibility_flag,rolling_exposure_5,rolling_claims_5,rolling_frequency_5
50,552,552,303.48,18,75197.55,258937.01,0.059312,4177.64,247.79,853.23,0.290409,0.704344,0.993558,Reviewable,1428.34,95.0,0.066511
51,504,504,278.06,16,43444.86,238482.13,0.057541,2715.3,156.24,857.66,0.182172,0.683312,0.623256,Reviewable,1433.25,94.0,0.065585
52,523,523,283.78,17,41958.72,239236.7,0.059907,2468.16,147.86,843.05,0.175386,0.711402,0.600037,Reviewable,1449.49,100.0,0.06899
53,508,508,287.37,21,73334.8,243813.7,0.073078,3492.13,255.2,848.44,0.300782,0.867811,1.029048,Reviewable,1434.71,95.0,0.066215
54,546,546,296.81,28,79810.25,248347.02,0.094338,2850.37,268.9,836.73,0.321366,1.120277,1.09947,Reviewable,1435.96,98.0,0.068247
55,524,524,288.7,13,33642.06,245015.56,0.045029,2587.85,116.53,848.67,0.137306,0.534725,0.469756,Reviewable,1422.64,92.0,0.064668
56,494,494,279.31,19,58316.98,238016.94,0.068025,3069.31,208.79,852.16,0.245012,0.807806,0.838245,Reviewable,1410.17,95.0,0.067368
57,477,477,270.46,11,29601.71,228046.61,0.040672,2691.06,109.45,843.19,0.129806,0.482989,0.444096,Reviewable,1385.24,89.0,0.064249
58,509,509,274.89,24,79407.57,234167.75,0.087307,3308.65,288.87,851.86,0.339105,1.03679,1.160161,Reviewable,1368.89,89.0,0.065016
59,486,486,271.88,22,94901.04,230845.4,0.080917,4313.68,349.05,849.06,0.411102,0.960908,1.406479,Reviewable,1362.1,90.0,0.066075
60,498,498,272.35,13,45592.01,232270.05,0.047733,3507.08,167.4,852.85,0.196289,0.566841,0.671551,Reviewable,1353.48,92.0,0.067973
61,496,496,272.52,20,60489.4,232814.68,0.073389,3024.47,221.96,854.3,0.259818,0.871506,0.888899,Reviewable,1340.89,78.0,0.05817
62,486,486,261.84,13,39886.01,222742.42,0.049649,3068.15,152.33,850.69,0.179068,0.589592,0.612634,Reviewable,1338.29,76.0,0.056789
63,488,488,262.31,10,33520.84,224503.88,0.038123,3352.08,127.79,855.89,0.149311,0.452723,0.510828,Reviewable,1160.02,70.0,0.060344
64,490,490,269.28,20,59521.15,228201.28,0.074272,2976.06,221.04,847.45,0.260827,0.882,0.892353,Reviewable,992.23,66.0,0.066517
65,170,170,94.08,7,19104.43,88973.92,0.074407,2729.2,203.07,945.76,0.214719,0.883602,0.734607,Reviewable,827.89,68.0,0.082136
66,196,196,104.73,16,38627.93,98251.12,0.152773,2414.25,368.83,938.13,0.393155,1.814204,1.345078,Reviewable,675.89,72.0,0.106526
67,177,177,97.5,15,48054.56,92016.36,0.153844,3203.64,492.86,943.75,0.522239,1.82693,1.786706,Reviewable,490.92,61.0,0.124255
68,196,196,110.3,14,45120.16,102212.07,0.126922,3222.87,409.05,926.64,0.441437,1.507227,1.510261,Reviewable,504.27,60.0,0.118983
69,164,164,84.31,9,22988.06,78935.75,0.106746,2554.23,272.65,936.23,0.291225,1.267629,0.996351,Reviewable,496.86,55.0,0.110695
70,182,182,107.43,6,18652.68,100031.03,0.055852,3108.78,173.63,931.16,0.186469,0.663257,0.637955,Reviewable,501.2,54.0,0.107742
71,186,186,97.32,11,29579.44,91114.92,0.113033,2689.04,303.95,936.27,0.324639,1.342287,1.110667,Reviewable,485.02,49.0,0.101026
72,189,189,101.84,14,33119.67,94275.95,0.137471,2365.69,325.21,925.73,0.351306,1.632489,1.201901,Reviewable,496.31,50.0,0.100744
73,169,169,94.13,9,27377.61,87254.44,0.095615,3041.96,290.86,926.98,0.313768,1.135448,1.073474,Reviewable,478.83,56.0,0.116951
74,177,177,95.6,10,33309.3,88483.8,0.104605,3330.93,348.43,925.59,0.376445,1.242209,1.287909,Reviewable,478.3,56.0,0.117081
75,159,159,89.95,12,30381.81,83813.1,0.133407,2531.82,337.76,931.77,0.362495,1.58423,1.240182,Reviewable,472.22,54.0,0.114352
76,176,176,96.78,11,32507.3,92048.05,0.113654,2955.21,335.87,951.06,0.353156,1.349668,1.208231,Reviewable,477.34,55.0,0.115222
77,176,176,95.76,12,36895.25,90656.63,0.125308,3074.6,385.27,946.66,0.406978,1.488053,1.392369,Reviewable,487.78,56.0,0.114806
78,188,188,99.24,10,23951.35,94342.97,0.100764,2395.13,241.34,950.64,0.253875,1.196591,0.868568,Reviewable,514.65,53.0,0.102982
79,187,187,106.04,11,34745.98,101163.42,0.103735,3158.73,327.67,954.02,0.343464,1.231872,1.175073,Reviewable,529.11,53.0,0.100168
80,213,213,116.82,9,36899.14,111489.27,0.077041,4099.9,315.86,954.36,0.330966,0.914879,1.132314,Reviewable,527.84,51.0,0.096621
81,197,197,111.25,11,31402.6,103672.16,0.09888,2854.78,282.28,931.92,0.302903,1.174223,1.036304,Reviewable,532.08,49.0,0.092091
82,175,175,94.49,10,28380.65,89270.98,0.105831,2838.06,300.36,944.77,0.317916,1.256767,1.087666,Reviewable,519.24,48.0,0.092443
83,191,191,103.49,8,17207.43,97404.42,0.077305,2150.93,166.28,941.23,0.17666,0.918011,0.604395,Reviewable,508.16,52.0,0.10233
84,171,171,93.2,10,24157.15,88766.78,0.107301,2415.72,259.21,952.48,0.272142,1.27422,0.931062,Reviewable,396.91,41.0,0.103297
85,187,187,105.74,13,31526.7,98871.78,0.122941,2425.13,298.15,935.03,0.318864,1.459949,1.090912,Reviewable,302.42,31.0,0.102505
